project_number,person_id_snsf,role,institute_name,institute_place,institute_id_p3
190277,730458,responsible_applicant,Institute of Social and Preventive Medicine (ISPM) Universität Bern,Bern,79308
147836,529895,responsible_applicant,World Trade Institute Universität Bern,Bern,248220
152154,569859,applicant,Institut d'Ethnologie Université de Neuchâtel,Neuchâtel,111149
177583,569859,applicant,Institut d'Ethnologie Université de Neuchâtel,Neuchâtel,111149
160876,674177,applicant,Swiss Organisation for Health in Africa SolidarMed,Maseru West,244377
152017,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
177584,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
194252,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
193032,66841,partner,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
152033,669948,employee,NA,NA,NA
198887,749112,applicant,Biochemistry Department Faculty of Pharmacy & Biotechnology The German University in Cairo,Cairo,254912
169632,683208,applicant,Faculty of Agriculture University of Abomey-Calavi,Benin,246771
194005,683208,applicant,Faculty of Agriculture University of Abomey-Calavi,Benin,246771
177480,706779,applicant,Forest Products Research & Development Inst. Wood Preservation Division,Laguna,250818
146852,616994,responsible_applicant,Gestion Internationale des Forets Haute école des sciences agronomiques HAFL Haute école spécialisée bernoise BFH,Zollikofen,227440
193032,616994,responsible_applicant,Gestion Internationale des Forets Haute école des sciences agronomiques HAFL Haute école spécialisée bernoise BFH,Zollikofen,227440
146791,616994,applicant,Gestion Internationale des Forets Haute école des sciences agronomiques HAFL Haute école spécialisée bernoise BFH,Zollikofen,227440
177587,616994,applicant,Gestion Internationale des Forets Haute école des sciences agronomiques HAFL Haute école spécialisée bernoise BFH,Zollikofen,227440
146852,616994,responsible_applicant,Forest Management and Development (ForDev) ITES ETH Zurich,Zürich,227440
193032,616994,responsible_applicant,Forest Management and Development (ForDev) ITES ETH Zurich,Zürich,227440
146791,616994,applicant,Forest Management and Development (ForDev) ITES ETH Zurich,Zürich,227440
177587,616994,applicant,Forest Management and Development (ForDev) ITES ETH Zurich,Zürich,227440
169632,693759,applicant,Instituto de Investigación en Educación Facultad de Educación University of Costa Rica,"San Pedro, Montes de Oca, San José",247889
194005,693759,applicant,Instituto de Investigación en Educación Facultad de Educación University of Costa Rica,"San Pedro, Montes de Oca, San José",247889
152019,698560,employee,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
177587,698560,employee,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
146791,615316,employee,Laboratoire de microbiologie environnementale EPFL - ENAC - IIE - EML,Lausanne,220554
152033,634780,employee,NA,NA,NA
177322,768072,applicant,Nepal Centre for Contemporary Research NCCR,Kathmandu,241595
152019,533601,responsible_applicant,Ökosystemmanagement Dep. of Environmental Systems Science ETHZ,Zürich,261067
177587,533601,responsible_applicant,Ökosystemmanagement Dep. of Environmental Systems Science ETHZ,Zürich,261067
146852,533601,applicant,Ökosystemmanagement Dep. of Environmental Systems Science ETHZ,Zürich,261067
146919,642543,employee,Groupe des procédés avancés d'oxydation GPAO EPFL - SB - ISIC - GPAO,Lausanne,245436
169564,727175,employee,Graduate Institute Maison de la Paix,Genève,249519
194008,727175,employee,Graduate Institute Maison de la Paix,Genève,249519
152033,511755,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
177585,511755,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
193032,665144,applicant,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
146852,665144,employee,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
152019,665144,employee,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
177587,665144,employee,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Zürich,230163
147286,645603,employee,NA,NA,NA
152034,96769,applicant,Graduate Institute Maison de la Paix,Genève,249519
177591,96769,applicant,Graduate Institute Maison de la Paix,Genève,249519
160867,31488,responsible_applicant,Swisspeace - Schweizerische Friedenstiftung Universität Basel,Bern 7,242534
152033,575108,applicant,NA,NA,NA
152034,575108,applicant,NA,NA,NA
177585,575108,applicant,NA,NA,NA
177591,575108,applicant,NA,NA,NA
169470,6980,applicant,Institut für Erziehungswissenschaften Universität Zürich,Zürich,224152
194006,6980,applicant,Institut für Erziehungswissenschaften Universität Zürich,Zürich,224152
160374,678002,employee,NA,NA,NA
177296,706377,applicant,Anthropology and Sociology Department Graduate Institute IHEID,Genève,249560
169430,675850,employee,Institut des dynamiques de la surface terrestre Université de Lausanne,Lausanne,242451
177474,697097,applicant,Institut für Geophysik ETH Zürich,Zürich,2192
160877,716384,employee,NA,NA,NA
147330,609993,applicant,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH",Zollikofen,230309
152167,137814,applicant,Planning of Landscape and Urban Systems Institute for Spatial and Landscape Planning ETH Zuerich,Zürich,238076
177592,137814,applicant,Planning of Landscape and Urban Systems Institute for Spatial and Landscape Planning ETH Zuerich,Zürich,238076
199067,796554,employee,NA,NA,NA
160910,616283,responsible_applicant,Hochschule für Wirtschaft Fachhochschule Nordwestschweiz,Basel,105908
152154,84925,employee,NA,NA,NA
169564,706892,employee,NA,NA,NA
194252,759393,partner,University of Peradeniya,Peradeniya,234120
160373,570504,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
169632,570504,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
183760,570504,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
194005,570504,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
160876,661997,applicant,District Health Management Team,Butha-Buthe,244376
147210,617282,applicant,Ghana Center for Democratic Development,Legon Accra,239705
147836,574672,employee,World Trade Institute Centre for Development and Environment (CDE) Universität Bern,Bern,138287
160904,662122,applicant,Faculty of Sciences Semlalia University Cadi Ayyad,Marrakech,244425
146777,642187,employee,Institut de hautes études Internationales et du Développement,Genève,238900
177346,729944,employee,NA,NA,NA
152085,634489,applicant,Department of Agricultural Economics  Haramaya University,Dire Dawa,242777
177588,634489,applicant,Department of Agricultural Economics  Haramaya University,Dire Dawa,242777
152033,586245,applicant,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Bern,5425
177585,117097,applicant,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Bern,5425
147210,617280,applicant,American University of Cairo Department of Public Policy and Administration,New Cairo,239702
171175,617280,applicant,American University of Cairo Department of Public Policy and Administration,New Cairo,239702
